央视,#genre#
CCTV1,http://27.148.240.138/PLTV/88888888/224/3221226773/1.m3u8
CCTV2,http://27.148.240.138/PLTV/88888888/224/3221226788/1.m3u8
CCTV3,http://27.148.240.138/PLTV/88888888/224/3221227085/1.m3u8
CCTV4,http://27.148.240.138/PLTV/88888888/224/3221226784/1.m3u8
CCTV5+,http://27.148.240.138/PLTV/88888888/224/3221226850/1.m3u8
CCTV6,http://27.148.240.138/PLTV/88888888/224/3221227089/1.m3u8
CCTV7,http://27.148.240.138/PLTV/88888888/224/3221226780/1.m3u8
CCTV8,http://27.148.240.138/PLTV/88888888/224/3221227120/1.m3u8
CCTV9,http://27.148.240.138/PLTV/88888888/224/3221226849/1.m3u8
CCTV10,http://27.148.240.138/PLTV/88888888/224/3221226779/1.m3u8
CCTV11,http://27.148.240.138/PLTV/88888888/224/3221226888/1.m3u8
CCTV12,http://27.148.240.138/PLTV/88888888/224/3221226792/1.m3u8
CCTV13,http://27.148.240.138/PLTV/88888888/224/3221226769/1.m3u8
CCTV14,,http://27.148.240.138/PLTV/88888888/224/3221226762/1.m3u8
CCTV15,http://27.148.240.138/PLTV/88888888/224/3221226775/1.m3u8
CCTV16,http://27.148.240.138/PLTV/88888888/224/3221227352/1.m3u8
CCTV17,http://27.148.240.138/PLTV/88888888/224/3221227055/1.m3u8

CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=cctv13HD
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctv14HD
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV16 4K,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K


CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV4,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV9,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
